總集數 ,集數 ,中文集名 ,英文原名 ,導演 ,編劇 ,首播日期
117,20,夜間巡邏 ,The One with the Ride-Along ,Gary Halvorson ,Shana Goldberg-Meehan和Seth Kurland ,1999年4月29日
118,21,有夠無聊 ,The One with the Ball ,Gary Halvorson ,Scott Silveri / Gregory S. Malins ,1999年5月6日
119,22,喬伊的大機會 ,The One with Joey's Big Break ,Gary Halvorson ,Shana Goldberg-Meehan / Wil Calhoun ,1999年5月13日
120,23,拉斯維加斯 (上 ,The One in Vegas 1 ,Kevin S. Bright ,Ted Cohen和Andrew Reich ,1999年5月20日
121,24,拉斯維加斯 (下 ,The One in Vegas 2 ,Kevin S. Bright ,Gregory S. Malins和Scott Silveri ,1999年5月20日
122,1,拉斯維加斯之後 ,The One After Vegas ,Kevin Bright ,Adam Chase ,1999年9月23日
123,2,羅斯沒有取消婚約 ,The One Where Ross Hugs Rachel ,Gail Mancuso ,Shana Goldberg-Meehan ,1999年9月30日
124,3,羅斯的辯白 ,The One with Ross's Denial ,Gary Halvorson ,Seth Kurland ,1999年10月7日
125,4,喬伊失去了醫療保險 ,The One Where Joey Loses His Insurance ,Gary Halvorson ,Andrew Reich與Ted Cohen ,1999年10月14日
126,5,喬伊的保時捷 ,The One with Joey's Porsche ,Gary Halvorson ,Perry M. Rein與Gigi McCreery ,1999年10月21日
127,6,最後一夜 ,The One on the Last Night ,David Schwimmer ,Scott Silveri ,1999年11月4日
128,7,菲比，跑，菲比 ,The One Where Phoebe Runs ,Gary Halvorson ,Sherry Bilsing & Ellen Plummer ,1999年11月11日
129,8,羅斯的牙齒 ,The One with Ross's Teeth ,Gary Halvorson ,Perry M. Rein與Gigi McCreery ,1999年11月18日
130,9,羅斯的大麻 ,The One Where Ross Got High ,Kevin S. Bright ,Gregory S. Malins ,1999年11月25日
131,10,新年狂歡倒計時 ,The One with the Routine ,Kevin S. Bright ,Brian Boyle ,1999年12月16日
